Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,1.0108186444578875,1.027665760885997,1.0007105189684413,1.0074492692947388,269568,0.0,0.0
1962-01-03 00:00:00-05:00,1.0023947395588613,1.0023947395588613,0.9939712253711764,0.9973406791687012,184704,0.0,0.0
1962-01-04 00:00:00-05:00,0.9973409702366334,1.0057644066785627,0.9771246425718951,0.9855480790138245,229632,0.0,0.0
1962-01-05 00:00:00-05:00,0.985547943426351,0.9872326304829647,0.9434304461946179,0.9602775573730469,340704,0.0,0.0
1962-01-08 00:00:00-05:00,0.960277101112118,0.960277101112118,0.9299524276849848,0.958592414855957,386880,0.0,0.0
1962-01-09 00:00:00-05:00,0.9585933614156126,0.9720708647732139,0.9518543691243978,0.9636474251747131,290784,0.0,0.0
1962-01-10 00:00:00-05:00,0.9636469437478447,0.9737550662161446,0.9602775695917446,0.9687010049819946,244608,0.0,0.0
1962-01-11 00:00:00-05:00,0.9687017571361722,0.9703864455223083,0.9518546326623295,0.9703864455223083,203424,0.0,0.0
1962-01-12 00:00:00-05:00,0.9703858439565336,0.9720705312982911,0.953538970538958,0.9569083452224731,210912,0.0,0.0
1962-01-15 00:00:00-05:00,0.9585930218963069,0.9703858331573708,0.9585930218963069,0.9670164585113525,264576,0.0,0.0
1962-01-16 00:00:00-05:00,0.9670165080786621,0.9788094001483155,0.960277758441211,0.9754400253295898,173472,0.0,0.0
1962-01-17 00:00:00-05:00,0.9737553846188968,0.9737553846188968,0.9468001419438611,0.9535391330718994,267072,0.0,0.0
1962-01-18 00:00:00-05:00,0.9535392976565121,0.9636474251747131,0.9518543691243978,0.9636474251747131,184704,0.0,0.0
1962-01-19 00:00:00-05:00,0.9636477876446051,0.9720712304115295,0.9636477876446051,0.9720712304115295,165984,0.0,0.0
1962-01-22 00:00:00-05:00,0.9737552577161134,0.9872328371951294,0.9737552577161134,0.9754400253295898,177216,0.0,0.0
1962-01-23 00:00:00-05:00,0.9720705312982911,0.9720705312982911,0.953538970538958,0.9569083452224731,284544,0.0,0.0
1962-01-24 00:00:00-05:00,0.9569083836224854,0.9788094001483155,0.9535390088037599,0.9754400253295898,199680,0.0,0.0
1962-01-25 00:00:00-05:00,0.9754399369714366,0.9821786859984725,0.9585929841997403,0.9653317332267761,198432,0.0,0.0
1962-01-26 00:00:00-05:00,0.9653313578376668,0.9670160444393004,0.9585926114311321,0.9619619846343994,126048,0.0,0.0
1962-01-29 00:00:00-05:00,0.9619627372550129,0.9670168010141135,0.9602780493353128,0.9636474251747131,127296,0.0,0.0
1962-01-30 00:00:00-05:00,0.9754403755591601,0.9906025676873745,0.9754403755591601,0.9804944396018982,222144,0.0,0.0
1962-01-31 00:00:00-05:00,0.9804935671311207,1.0108180046081543,0.9788088806159562,1.0108180046081543,234624,0.0,0.0
1962-02-01 00:00:00-05:00,1.0108191685925412,1.0158732339579217,0.993972203837109,1.0040804147720337,320736,0.0,0.0
1962-02-02 00:00:00-05:00,1.0040798723396378,1.0091339349746704,0.997341122159594,1.0091339349746704,184704,0.0,0.0
1962-02-05 00:00:00-05:00,1.0074493917490825,1.0074493917490825,0.990602433681488,0.990602433681488,175968,0.0,0.0
1962-02-06 00:00:00-05:00,0.9939723674872897,1.0040805800864567,0.9939723674872897,1.00071120262146,129792,0.0,0.0
1962-02-07 00:00:00-05:00,1.0007098855171668,1.0108180046081543,0.9973405124868376,1.0108180046081543,210912,0.0,0.0
1962-02-08 00:00:00-05:00,1.010818395498461,1.017557144165039,1.0091337083318166,1.017557144165039,219648,0.0,0.0
1962-02-09 00:00:00-05:00,1.0175576881643027,1.0175576881643027,0.9990261194240013,1.0125036239624023,188448,0.0,0.0
1962-02-12 00:00:00-05:00,1.0125036239624023,1.0158730000970027,1.007449559760502,1.0125036239624023,102336,0.0,0.0
1962-02-13 00:00:00-05:00,1.0141875645281335,1.0242959260940552,1.0141875645281335,1.0242959260940552,151008,0.0,0.0
1962-02-14 00:00:00-05:00,1.0242960577019444,1.0360888669964319,1.0226113706598747,1.0327194929122925,202176,0.0,0.0
1962-02-15 00:00:00-05:00,1.034404617051683,1.0512515747953148,1.034404617051683,1.0478821992874146,233376,0.0,0.0
1962-02-16 00:00:00-05:00,1.0478825281167126,1.049567216399324,1.0327202533690547,1.041143774986267,292032,0.0,0.0
1962-02-19 00:00:00-05:00,1.041143008326737,1.0461970694529459,1.0276654317860836,1.0327194929122925,194688,0.0,0.0
